STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,YEAR,avg_temp_f,max_temp_f,min_temp_f,total_precip_in,min_precip_day,avg_wind,max_wind,total_snow
US1IDPW0004,"AMERICAN FALLS 3.6 ESE, ID US",42.76525,-112.78567,1416.7,2015,,,,1.5699999999999998,0.0,,,0.0
US1IDSH0001,"KELLOGG 0.6 ENE, ID US",47.541241,-116.122028,700.4,2015,,,,1.6400000000000001,0.0,,,0.0
US1IDSH0002,"AVERY 0.1 S, ID US",47.2497,-115.805,760.2,2015,,,,1.55,0.0,,,0.0
US1IDTF0001,"TWIN FALLS 4.9 WSW, ID US",42.54298,-114.55245,1175.3,2015,,,,0.93,0.0,,,0.0
US1IDTF0003,"BUHL 2.9 NNW, ID US",42.638,-114.783,994.3,2015,,,,1.2,0.0,,,0.0
US1IDTF0004,"FILER 0.9 W, ID US",42.56861,-114.6275,1149.7,2015,,,,0.87,0.0,,,0.0
US1IDTF0005,"BUHL 4.2 SE, ID US",42.54921,-114.7124,1222.2,2015,,,,0.81,0.0,,,0.0
US1IDTF0006,"FILER 3.6 SW, ID US",42.53926,-114.66716,1219.8,2015,,,,1.5,0.0,,,0.0
US1IDVL0001,"MCCALL 9.3 SSE, ID US",44.784871,-116.047486,1493.5,2015,,,,2.0300000000000002,0.0,,,0.0
USC00100010,"ABERDEEN EXPERIMENT STATION, ID US",42.9536,-112.8253,1342.6,2015,83.46739130434783,100.0,35.0,2.0,0.0,,,0.0
USC00100218,"AMERICAN FALLS, ID US",42.79866,-112.80359,1344.2,2015,86.46739130434783,99.0,42.0,1.58,0.0,,,0.0
USC00100375,"ARCO, ID US",43.6356,-113.29978,1623.1,2015,82.77173913043478,97.0,41.0,1.81,0.0,,,0.0
USC00100470,"ASHTON 1 N, ID US",44.0707,-111.4565,1588.6,2015,81.1304347826087,97.0,35.0,2.0900000000000003,0.0,,,0.0
USC00100667,"BAYVIEW MODEL BASIN, ID US",47.9804,-116.5594,636.1,2015,81.33707865168539,98.0,37.0,1.96,0.0,,,0.0
USC00100774,"BELLEVUE, ID US",43.4669,-114.2577,1582.5,2015,82.93478260869566,99.0,39.0,2.37,0.0,,,0.0
USC00100803,"BERN, ID US",42.33532,-111.38544,1817.8,2015,82.25,97.0,30.0,3.08,0.0,,,0.0
USC00100915,"BLACKFOOT FIRE DEPARTMENT, ID US",43.19172,-112.34522,1371.3,2015,84.61538461538461,101.0,41.0,1.73,0.0,,,0.0
USC00101017,"BOISE 7 N, ID US",43.7383,-116.2022,1184.1,2015,85.16304347826087,104.0,43.0,1.76,0.0,,,0.0
USC00101018,"BOISE LUCKY PEAK DAM, ID US",43.5253,-116.0542,865.6,2015,90.58695652173913,110.0,46.0,1.27,0.0,,,0.0
USC00101079,"BONNERS FERRY, ID US",48.6928,-116.3104,609.9,2015,85.50549450549451,105.0,42.0,2.23,0.0,,,0.0
USC00101363,"CABINET GORGE, ID US",48.0863,-116.0573,662.3,2015,82.66304347826087,98.0,40.0,2.56,0.0,,,0.0
USC00101408,"CAMBRIDGE, ID US",44.5734,-116.6754,807.7,2015,94.77173913043478,112.0,40.0,0.99,0.0,,,0.0
USC00101514,"CASCADE 1 NW, ID US",44.5228,-116.0481,1492.3,2015,80.96739130434783,98.0,36.0,4.03,0.0,,,0.0
USC00101551,"CASTLEFORD 2 N, ID US",42.5503,-114.8661,1165.9,2015,84.48936170212765,96.0,40.0,1.06,0.0,,,0.0
USC00101671,"CHILLY BARTON FLAT, ID US",43.97775,-113.82913,1908.0,2015,78.75,93.0,37.0,2.64,0.0,,,0.0
USC00101831,"CLARKIA, ID US",47.0112,-116.2559,860.1,2015,,,,1.15,0.0,,,0.0
USC00101956,"COEUR D ALENE, ID US",47.6821,-116.7967,650.1,2015,85.73417721518987,102.0,44.0,1.4100000000000001,0.0,,,0.0
USC00102159,"COTTONWOOD 2 WSW, ID US",46.0336,-116.3919,1202.4,2015,81.8913043478261,100.0,45.0,3.17,0.0,,,0.0
USC00102187,"COUNCIL, ID US",44.7441,-116.4326,897.0,2015,89.64285714285714,104.0,42.0,0.09,0.0,,,0.0
USC00102260,"CRATERS OF THE MOON, ID US",43.46239,-113.56018,1802.6,2015,83.46067415730337,100.0,36.0,1.74,0.0,,,0.0
USC00102392,"DEADWOOD LODGE, ID US",44.4622,-115.5817,1813.0,2015,79.02,93.0,30.0,3.09,0.0,,,0.0
USC00102577,"DIXIE NORTH, ID US",45.5697,-115.4527,1749.6,2015,75.94318181818181,94.0,27.0,3.5300000000000002,0.0,,,0.0
USC00102667,"DOWNEY, ID US",42.4261,-112.1253,1482.9,2015,85.29347826086956,100.0,41.0,3.81,0.0,,,0.0
USC00102676,"DRIGGS, ID US",43.77909,-111.11116,1879.1,2015,75.35164835164835,89.0,33.0,4.88,0.0,,,0.0
USC00102707,"DUBOIS EXPERIMENT STATION, ID US",44.24364,-112.20033,1661.2,2015,83.96739130434783,97.0,41.0,3.83,0.0,,,0.0
USC00102845,"DWORSHAK FISH HATCHERY, ID US",46.5023,-116.3216,303.3,2015,90.14606741573034,109.0,47.0,1.69,0.0,,,0.0
USC00102892,"ELK RIVER, ID US",46.77439,-116.17623,867.2,2015,88.5,103.0,36.0,0.04,0.0,,,0.0
USC00102942,"EMMETT 2 E, ID US",43.8544,-116.4663,728.5,2015,91.95652173913044,109.0,46.0,1.04,0.0,,,0.0
