FIRE_YEAR,COUNTY,fire_count,total_acres,max_fire_size
2000,Twin Falls,14,3853.6,1702.0
2000,Valley,0,5.8,2.0
2000,Washington,4,22.6,20.0
2001,003,1,50.0,50.0
2001,015,2,0.6,0.5
2001,13,12,305.6,300.0
2001,15,17,8.4,5.0
2001,17,27,52.6,19.0
2001,19,28,522.6999999999999,475.0
2001,21,41,170.9,60.0
2001,25,6,1.9000000000000001,0.8
2001,29,6,7.3,3.0
2001,31,8,669.6,661.0
2001,33,6,2.4,1.0
2001,35,20,122.7,114.0
2001,37,8,1.6,0.5
2001,39,3,0.5,0.3
2001,41,2,0.2,0.1
2001,43,16,452.7,385.0
2001,45,1,0.1,0.1
2001,49,124,16258.5,4213.0
2001,5,5,10.299999999999999,8.0
2001,55,15,12.6,6.0
2001,57,1,0.1,0.1
2001,59,4,248.2,140.0
2001,65,1,0.5,0.5
2001,7,9,162.9,160.0
2001,71,10,11.0,5.0
2001,77,2,295.0,250.0
2001,79,47,21.6,5.0
2001,81,4,3.3,3.0
2001,83,1,1.0,1.0
2001,85,5,0.5,0.1
2001,Ada,35,7879.700000000001,4282.0
2001,Adams,1,2.35,0.75
2001,Bannock,30,539.7,303.0
2001,Bear Lake,4,14.0,5.0
2001,Benewah,0,6.0,3.0
2001,Bingham,15,998.9,689.0
2001,Blaine,10,725.5,693.1
2001,Boise,2,882.55,512.0
2001,Bonner,0,12.6,3.0
2001,Bonneville,1,633.0,633.0
2001,Boundary,2,496.85,440.0
2001,Butte,9,671.3,653.0
2001,Camas,3,18395.399999999998,18046.6
2001,Canyon,2,428.0,275.0
2001,Caribou,3,93.1,51.0
2001,Cassia,62,14284.5,6472.4
2001,Clark,6,16.1,10.0
2001,Clearwater,0,21.2,2.3
2001,Custer,5,6.7,5.0
2001,Elmore,40,6805.2,1369.0
2001,Franklin,3,1083.0,782.0
2001,Fremont,1,12.0,12.0
2001,Gem,13,7706.7,2465.0
2001,Gooding,19,368.20000000000005,232.4
2001,Idaho,0,204.92,105.0
2001,Jefferson,6,25.8,22.0
2001,Jerome,26,12135.3,11058.0
2001,Kootenai,0,34.55,14.7
2001,Latah,0,134.6,125.0
2001,Lemhi,7,192.2,190.6
2001,Lewis,0,0.4,0.1
2001,Lincoln,19,799.2,197.6
2001,Minidoka,12,6652.5,2759.0
2001,Nez Perce,2,3030.2,1595.0
2001,Oneida,34,7026.1,2548.0
2001,Owyhee,35,44822.2,11198.0
2001,Payette,7,780.0,483.0
2001,Power,14,756.9,420.0
2001,Shoshone,0,7.35,3.0
2001,Teton,1,1.5,1.5
2001,Twin Falls,15,3697.1,3281.0
2001,Valley,0,8.950000000000001,1.0
2001,Washington,6,2057.2,1975.0
2002,003,1,1.5,1.5
2002,085,3,0.30000000000000004,0.1
2002,13,18,27.7,25.0
2002,15,26,48.8,20.0
2002,17,24,6.4,2.0
2002,19,10,1.5,0.3
2002,21,20,18.5,9.0
2002,25,2,1.1,1.0
2002,29,8,1.4000000000000001,0.5
2002,31,6,5.9,5.0
2002,35,28,22.7,10.0
2002,37,14,5.2,3.0
2002,39,4,1.9,1.0
2002,43,7,1.2,0.5
2002,49,204,7180.0,3359.0
2002,5,1,15.0,15.0
2002,55,9,1.2000000000000002,0.4
2002,57,1,1.5,1.5
2002,69,1,35.0,35.0
2002,7,8,43.699999999999996,42.0
2002,79,54,30.3,12.0
2002,83,3,250.4,250.0
2002,85,5,1.1,0.5
2002,Ada,15,4382.3,3629.0
2002,Adams,0,3.6,2.0
2002,Bannock,12,966.7,483.0
2002,Bear Lake,2,20.5,20.0
2002,Benewah,1,130.15,122.0
2002,Bingham,3,5.2,4.0
2002,Blaine,12,1474.8,1046.5
2002,Boise,2,58.98,21.0
2002,Bonner,1,334.95,312.0
2002,Bonneville,5,182.5,93.0
2002,Boundary,0,9.6,2.0
2002,Butte,8,28.6,27.0
2002,Camas,1,0.1,0.1
2002,Canyon,4,742.0,528.0
2002,Caribou,4,15.799999999999999,15.0
2002,Cassia,15,12961.3,10422.0
2002,Clark,6,3.5,2.0
2002,Clearwater,0,45.82,30.0
2002,Custer,2,73.3,73.0
2002,Elmore,20,737.9,313.0
2002,Franklin,1,9.0,9.0
2002,Fremont,1,0.1,0.1
2002,Gem,11,9630.3,6786.0
2002,Gooding,2,0.4,0.3
2002,Idaho,1,697.75,425.0
2002,Jerome,10,17.2,10.0
2002,Kootenai,0,3.05,2.0
2002,Latah,0,86.4,35.0
2002,Lemhi,15,12.799999999999999,9.0
2002,Lewis,0,10.1,10.0
2002,Lincoln,12,5340.3,5237.0
2002,Madison,1,5.0,5.0
2002,Minidoka,2,1.1,1.0
2002,Nez Perce,0,443.6,300.0
2002,Oneida,2,0.2,0.1
2002,Owyhee,34,25665.3,8140.0
2002,Payette,4,79.2,72.0
2002,Power,3,45.3,35.0
2002,Shoshone,0,0.5,0.3
2002,Twin Falls,12,310.3,225.0
2002,Valley,0,9.35,3.0
2002,Washington,5,135.0,81.0
2003,003,2,0.2,0.1
2003,049,2,5.1,5.0
2003,085,2,28.2,28.0
2003,13,10,146.60000000000002,145.0
2003,15,9,39.6,36.0
2003,17,17,35.0,22.0
2003,19,26,7.8999999999999995,3.0
2003,21,31,3466.1,3449.0
2003,25,4,0.4,0.1
2003,29,6,0.6000000000000001,0.1
2003,31,5,1.8,1.0
2003,33,9,4613.7,4612.0
2003,35,32,9646.65,3509.0
2003,37,4,2.45,2.0
2003,39,4,3133.25,2272.65
2003,41,2,84.1,78.6
2003,43,23,35.9,9.5
2003,45,5,5.9,3.0
2003,49,323,75768.14,12467.0
2003,5,9,27.400000000000002,23.6
2003,55,18,3.0,0.8
2003,57,1,0.1,0.1
2003,65,3,0.30000000000000004,0.1
2003,7,6,7.1,5.0
2003,71,2,751.5,519.7
2003,79,61,508.5,350.0
2003,81,7,5.9,5.0
2003,83,3,0.30000000000000004,0.1
2003,85,4,0.55,0.25
2003,Ada,17,1318.5,864.0
2003,Adams,0,2.3000000000000003,0.5
2003,Bannock,18,6523.8,3977.5
2003,Bear Lake,1,15.0,15.0
2003,Benewah,0,25.22,10.0
2003,Bingham,15,5685.9,2766.6
2003,Blaine,13,6502.6,4095.1
2003,Boise,2,167.1,93.0
2003,Bonner,1,600.95,590.0
2003,Bonneville,15,737.6,186.0
2003,Boundary,0,46.449999999999996,34.5
2003,Butte,6,4.1,2.5
2003,Camas,2,313.90000000000003,313.8
2003,Caribou,12,1909.4,813.9
2003,Cassia,29,3223.8,2680.0
2003,Clark,5,38218.4,37842.5
2003,Clearwater,0,35.199999999999996,31.7
2003,Custer,4,5.8,5.0
2003,Elmore,21,225.5,114.0
2003,Franklin,1,280.4,280.4
2003,Fremont,5,520.4,482.4
2003,Gem,5,646.3,218.0
2003,Gooding,7,13.1,5.0
2003,Idaho,0,4.609999999999999,2.5
2003,Jefferson,7,12328.4,12068.4
2003,Jerome,11,971.9,871.5
2003,Kootenai,0,43.61,12.0
2003,Latah,1,280.3,190.0
2003,Lemhi,12,50.7,28.0
2003,Lewis,0,0.1,0.1
2003,Lincoln,11,238.0,200.0
2003,Madison,6,608.0,504.8
2003,Minidoka,8,1188.1,1047.0
2003,Nez Perce,0,3947.3,3200.0
2003,Oneida,7,5.1,2.0
2003,Owyhee,25,6845.2,4848.0
2003,Payette,1,7.0,7.0
2003,Power,8,2194.6,2016.6
2003,"Ravalli, Lemhi, Beav",1,7275.0,7275.0
2003,Shoshone,0,16.6,2.5
2003,Teton,1,0.3,0.3
2003,Twin Falls,16,97.5,43.0
2003,Valley,0,10.450000000000001,6.0
2003,Washington,4,402.2,399.0
2004,003,2,35.75,35.0
2004,1,1,0.1,0.1
2004,13,12,4.05,2.0
2004,15,4,0.95,0.5
2004,17,23,15.51,11.0
2004,19,3,0.30000000000000004,0.1
2004,21,24,7.15,2.0
2004,25,5,4.05,3.5
2004,29,1,4.2,4.2
2004,31,5,0.9,0.5
2004,33,3,1.2,1.0
2004,35,31,7.75,3.0
2004,37,8,2.7,2.0
2004,39,4,240.2,233.0
2004,41,2,1.1,1.0
2004,43,8,2.8,2.0
2004,49,177,2236.65,882.4
2004,5,11,1.25,0.25
2004,55,12,2.85,1.0
2004,65,1,0.1,0.1
2004,7,2,0.2,0.1
2004,71,2,0.5,0.25
2004,79,78,57.5,31.0
2004,81,3,1.2000000000000002,1.0
2004,83,1,0.1,0.1
2004,85,3,802.2,801.0
2004,Ada,9,133.9,83.0
2004,Adams,0,5.65,4.5
2004,Bannock,5,15.7,9.0
2004,Bear Lake,1,2.0,2.0
2004,Benewah,0,6.800000000000001,4.2
2004,Bingham,5,46.2,21.0
2004,Blaine,8,489.30000000000007,481.6
2004,Boise,0,6.87,5.0
2004,Bonner,0,9.05,2.2
2004,Bonneville,3,635.6,619.5
2004,Boundary,0,8.12,3.5
2004,Butte,2,0.2,0.1
2004,Canyon,2,2.2,2.0
2004,Caribou,1,215.0,215.0
2004,Cassia,14,476.0,462.5
2004,Clearwater,0,14.549999999999999,8.2
2004,Elmore,24,1998.5,817.0
2004,Franklin,1,0.1,0.1
2004,Gem,4,121.1,107.0
2004,Gooding,4,10.7,10.0
2004,Idaho,1,867.0500000000001,859.0
2004,Jefferson,2,2.3,2.0
2004,Jerome,12,110.2,53.2
2004,Kootenai,0,10.0,4.2
2004,Latah,0,12.850000000000001,5.0
2004,Lemhi,5,0.5,0.1
2004,Lewis,0,6.95,6.7
2004,Lincoln,5,49.4,49.0
2004,Madison,1,0.1,0.1
2004,Minidoka,2,393.2,393.0
2004,Nez Perce,0,40.01,30.0
2004,Oneida,5,5.0,3.0
2004,Owyhee,18,2362.6,1086.0
2004,Payette,1,42.0,42.0
2004,Power,3,0.8999999999999999,0.5
2004,Shoshone,0,4.09,2.3
2004,Twin Falls,6,76.6,57.0
2004,Valley,0,97.22999999999999,95.0
2005,1,2,12.0,7.0
2005,13,14,40484.45,40483.0
2005,15,52,1301.8100000000002,1132.0
2005,17,22,11.05,3.3
2005,19,8,2115.7,2098.0
2005,21,10,2.8,1.3
2005,23,4,9.2,6.7
2005,25,1,13.0,13.0
2005,3,21,50.050000000000004,46.0
2005,31,1,0.1,0.1
2005,33,2,0.2,0.1
2005,35,9,2162.05,2000.0
2005,37,28,605.9,600.0
2005,39,17,73.45,35.0
2005,41,1,0.5,0.5
2005,43,8,9.0,8.0
2005,45,1,0.1,0.1
2005,49,239,86171.2,13866.0
2005,5,8,0.8,0.1
2005,55,12,2.5,1.0
2005,57,1,0.1,0.1
2005,59,66,30928.019999999997,20400.0
2005,7,1,25.0,25.0
2005,77,1,0.1,0.1
2005,79,17,33.0,21.0
2005,81,2,0.2,0.1
2005,83,1,0.1,0.1
2005,85,77,8834.050000000001,6775.0
2005,87,10,28730.9,25280.0
2005,Ada,28,10272.0,8347.0
2005,Bannock,12,8783.9,8282.0
2005,Bear Lake,1,1.0,1.0
2005,Bingham,16,19628.399999999998,16892.1
2005,Blaine,7,24944.6,24810.0
2005,Boise,1,183.0,183.0
2005,Bonneville,8,114.8,93.0
2005,Butte,4,40.5,35.5
2005,Camas,2,153.1,153.0
2005,Caribou,1,6.0,6.0
2005,Cassia,16,1627.6,588.0
2005,Clark,1,827.0,827.0
2005,Custer,6,51.6,50.0
2005,Elmore,51,20488.5,6969.4
2005,Fremont,2,5.1,5.0
2005,Gem,4,72.3,59.0
2005,Gooding,26,1319.0,343.3
2005,Idaho,2,9705.0,4974.0
2005,Jefferson,2,159.4,159.3
2005,Jerome,32,7841.7,5176.3
2005,Lemhi,11,42.0,20.0
2005,Lincoln,17,8824.0,7284.0
2005,Madison,1,0.8,0.8
2005,Minidoka,6,47657.4,47592.0
2005,Nez Perce,1,310.0,310.0
2005,Oneida,5,3110.5,3105.6
2005,Owyhee,30,211227.9,192846.1
2005,Payette,3,976.0,968.0
2005,Power,6,10718.9,10629.5
2005,Twin Falls,12,8943.5,5849.4
2005,Washington,2,1259.0,1256.0
