FIRE_YEAR,COUNTY,fire_count,total_acres,max_fire_size,avg_temp_month1,avg_temp_month2,avg_temp_month3,avg_temp_month4,avg_temp_month5,avg_temp_month6,avg_temp_month7,avg_temp_month8,precip_anomaly_month1,precip_anomaly_month2,precip_anomaly_month3,precip_anomaly_month4,precip_anomaly_month5,precip_anomaly_month6,precip_anomaly_month7,precip_anomaly_month8,snow_anomaly_month1,snow_anomaly_month2,snow_anomaly_month3,snow_anomaly_month4,snow_anomaly_month5,snow_anomaly_month6,snow_anomaly_month7,snow_anomaly_month8,temp_anomaly_month1,temp_anomaly_month2,temp_anomaly_month3,temp_anomaly_month4,temp_anomaly_month5,temp_anomaly_month6,temp_anomaly_month7,temp_anomaly_month8,prev_year_acres,avg_acres_3yr,county_id,large_fire
2013,Payette,3,192.1,187.0,27.225806451612904,43.892857142857146,56.806451612903224,62.06666666666667,74.19354838709677,84.46666666666667,97.5483870967742,93.6774193548387,-0.0809523809523808,-0.5023809523809525,-1.145714285714286,-0.2980952380952382,-0.7409523809523808,-0.33,-0.0523809523809523,0.1214285714285714,3.7809523809523817,-0.119047619047619,-1.2333333333333334,-0.3142857142857143,-0.0238095238095238,0.0,0.0,0.0,-11.814132104454686,-1.905289702087728,1.5207373271889395,-0.4253968253968168,1.6144393241167307,1.7888888888888914,2.7818740399385717,2.397849462365585,31.0,309.3333333333333,37,0
2014,Payette,3,9.6,8.0,36.225806451612904,46.57142857142857,55.54838709677419,62.233333333333334,74.58064516129032,80.9,96.12903225806453,88.58064516129032,-0.4809523809523809,1.0876190476190477,0.8342857142857141,0.9019047619047618,-0.8909523809523807,-0.47,-0.1023809523809523,-0.1685714285714285,-2.219047619047619,0.1809523809523812,-1.5333333333333334,-0.3142857142857143,-0.0238095238095238,0.0,0.0,0.0,-2.8141321044546856,0.7732817264836953,0.2626728110599075,-0.2587301587301525,2.0015360983102823,-1.7777777777777717,1.362519201228892,-2.6989247311827995,192.1,363.7,37,0
2015,Payette,4,333.6,318.0,37.516129032258064,53.17857142857143,61.806451612903224,63.9,74.16129032258064,90.83333333333331,90.12903225806453,91.61290322580643,-0.4609523809523808,0.2176190476190476,-0.9957142857142858,-0.6480952380952382,0.0090476190476191,-0.57,0.7876190476190476,-0.1485714285714285,-4.419047619047619,-3.819047619047619,-1.5333333333333334,-0.3142857142857143,-0.0238095238095238,0.0,0.0,0.0,-1.5238095238095255,7.3804245836265565,6.5207373271889395,1.4079365079365118,1.5821812596006026,8.155555555555537,-4.637480798771108,0.3333333333333144,9.6,77.56666666666666,37,0
2016,Payette,2,70.1,70.0,40.225806451612904,50.310344827586206,57.32258064516129,69.03333333333333,73.12903225806451,86.53333333333333,90.64516129032258,90.03225806451613,-0.4609523809523808,-0.4623809523809524,-0.0457142857142858,-0.5580952380952382,-0.5809523809523808,-0.56,0.0876190476190476,-0.3285714285714285,-3.319047619047619,-3.319047619047619,-1.5333333333333334,-0.3142857142857143,-0.0238095238095238,0.0,0.0,0.0,1.1858678955453144,4.512197982641332,2.0368663594470036,6.541269841269845,0.5499231950844745,3.8555555555555543,-4.121351766513058,-1.2473118279569917,333.6,178.4333333333333,37,0
2017,Payette,1,288.0,288.0,28.419354838709676,44.607142857142854,58.25806451612903,59.53333333333333,72.54838709677419,82.13333333333334,97.29032258064515,92.64516129032258,1.6690476190476191,0.0876190476190477,1.354285714285714,0.7619047619047616,-0.7509523809523808,0.6599999999999999,-0.1723809523809523,-0.1085714285714285,15.98095238095238,-0.7190476190476192,-1.3333333333333337,-0.2142857142857142,-0.0238095238095238,0.0,0.0,0.0,-10.620583717357912,-1.19100398780202,2.9723502304147473,-2.9587301587301553,-0.0307219662058457,-0.5444444444444372,2.5238095238095184,1.3655913978494567,70.1,137.76666666666665,37,0
2018,Payette,3,904.1,844.0,45.38709677419355,44.607142857142854,53.806451612903224,63.86666666666667,76.48387096774194,81.93333333333334,96.16129032258064,91.09677419354838,0.0690476190476192,-0.5723809523809525,0.3842857142857141,-0.2580952380952381,0.3890476190476191,-0.49,-0.0823809523809523,-0.3185714285714285,-5.419047619047619,3.380952380952382,1.0666666666666669,-0.1142857142857142,-0.0238095238095238,0.0,0.0,0.0,6.347158218125962,-1.19100398780202,-1.4792626728110605,1.3746031746031804,3.904761904761898,-0.74444444444444,1.394777265745006,-0.1827956989247354,288.0,230.5666666666667,37,0
2019,Payette,7,1723.6,1529.0,43.83870967741935,41.035714285714285,53.96774193548387,62.96666666666667,71.19354838709677,81.06666666666666,91.35483870967742,91.93548387096774,-0.2109523809523807,2.5776190476190477,-0.1957142857142857,0.7419047619047618,2.489047619047619,-0.7,-0.1623809523809524,-0.2385714285714285,-4.019047619047619,7.580952380952381,-1.5333333333333334,-0.3142857142857143,-0.0238095238095238,0.0,0.0,0.0,4.798771121351763,-4.762432559230589,-1.3179723502304128,0.4746031746031818,-1.3855606758832693,-1.6111111111111145,-3.411674347158211,0.655913978494624,904.1,420.7333333333333,37,1
2020,Payette,2,9.0,6.0,44.096774193548384,46.89655172413793,55.903225806451616,64.83333333333333,72.58064516129032,77.93333333333334,91.41935483870968,92.0,0.9990476190476192,0.0176190476190474,0.3142857142857143,-0.128095238095238,0.4890476190476192,2.53,-0.1023809523809523,-0.2585714285714285,3.380952380952382,-1.419047619047619,-1.5333333333333334,-0.3142857142857143,-0.0238095238095238,0.0,0.0,0.0,5.056835637480795,1.0984048791930547,0.617511520737331,2.341269841269842,0.0015360983102823,-4.74444444444444,-3.347158218125955,0.7204301075268802,1723.6,971.9,37,0
2021,Payette,1,586.4,586.4,43.61290322580645,42.964285714285715,57.354838709677416,64.7,72.35483870967742,90.9,98.64516129032258,88.48387096774194,-0.0509523809523808,0.4876190476190476,-0.5557142857142858,-0.2880952380952382,-0.7209523809523808,-0.03,0.7076190476190476,-0.1385714285714285,-5.019047619047619,10.18095238095238,-1.0333333333333334,-0.3142857142857143,-0.0238095238095238,0.0,0.0,0.0,4.572964669738859,-2.833861130659159,2.0691244239631317,2.207936507936516,-0.2242703533026144,8.222222222222229,3.878648233486942,-2.795698924731184,9.0,878.9,37,0
2022,Payette,1,890.3,890.3,34.87096774193548,43.642857142857146,57.32258064516129,58.06666666666667,67.12903225806451,81.0,97.06451612903226,96.7741935483871,-0.2109523809523807,-1.0523809523809524,-1.1157142857142857,-0.0980952380952382,0.9690476190476192,0.29,-0.1823809523809524,-0.2385714285714285,-0.9190476190476192,-3.619047619047619,-1.5333333333333334,1.1857142857142855,0.4761904761904761,0.0,0.0,0.0,-4.168970814132109,-2.155289702087728,2.0368663594470036,-4.425396825396817,-5.4500768049155255,-1.6777777777777771,2.2980030721966216,5.494623655913983,586.4,772.9999999999999,37,0
2023,Payette,1,109.2,109.2,40.806451612903224,45.0,47.70967741935484,61.4,77.45161290322581,81.73333333333333,97.19354838709675,91.38709677419357,-0.5809523809523809,-0.7123809523809526,0.9642857142857144,-0.6380952380952382,-0.0609523809523808,0.2299999999999999,-0.1823809523809524,2.4614285714285713,-1.7190476190476192,-0.4190476190476189,7.566666666666666,1.6857142857142855,-0.0238095238095238,0.0,0.0,0.0,1.7665130568356346,-0.7981468449448741,-7.576036866359445,-1.0920634920634882,4.87250384024577,-0.9444444444444428,2.42703533026112,0.107526881720446,890.3,495.2333333333333,37,0
2024,Payette,4,886.3,611.9,40.70967741935484,50.689655172413794,54.54838709677419,63.7,71.0,86.86666666666666,98.12903225806453,91.48387096774194,0.9390476190476192,1.1076190476190475,0.524285714285714,1.121904761904762,-0.0109523809523808,-0.24,-0.0623809523809524,-0.3085714285714285,16.580952380952382,-2.619047619047619,5.866666666666667,1.7857142857142858,-0.0238095238095238,0.0,0.0,0.0,1.6697388632872503,4.8915083274689195,-0.7373271889400925,1.207936507936516,-1.579109062980038,4.188888888888883,3.362519201228892,0.2043010752688161,109.2,528.6333333333332,37,0
2025,Payette,8,2036.9,1199.2,39.87096774193548,42.714285714285715,57.064516129032256,64.56666666666666,75.41935483870968,85.26666666666667,92.80645161290325,90.5483870967742,-0.2209523809523808,1.9376190476190471,-0.6757142857142857,-0.8180952380952382,-0.6809523809523808,-0.59,0.1376190476190475,0.1814285714285714,-3.119047619047619,6.980952380952381,-1.3333333333333337,-0.3142857142857143,-0.0238095238095238,0.0,0.0,0.0,0.8310291858678909,-3.083861130659159,1.7788018433179715,2.074603174603176,2.8402457757296418,2.588888888888889,-1.9600614439323891,-0.7311827956989134,886.3,628.5999999999999,37,1
