FIRE_YEAR,COUNTY,fire_count,total_acres,max_fire_size,YEAR,avg_temp_f,max_temp_f,min_temp_f,total_precip_in,avg_wind,max_wind,fire_occurred,large_fire
2005,Gooding,26,1319.0,343.3,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2005,Idaho,2,9705.0,4974.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2005,Jefferson,2,159.4,159.3,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,0
2005,Jerome,32,7841.7,5176.3,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2005,Lemhi,11,42.0,20.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,0
2005,Lincoln,17,8824.0,7284.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2005,Madison,1,0.8,0.8,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,0
2005,Minidoka,6,47657.4,47592.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2005,Nez Perce,1,310.0,310.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,0
2005,Oneida,5,3110.5,3105.6,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2005,Owyhee,30,211227.9,192846.1,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2005,Payette,3,976.0,968.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,0
2005,Power,6,10718.9,10629.5,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2005,Twin Falls,12,8943.5,5849.4,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2005,Washington,2,1259.0,1256.0,2005,78.20769291816076,95.22666666666667,31.033333333333335,2.275148514851485,7.917268276972624,14.063333333333333,1,1
2006,Ada,28,2236.5,1166.0,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Bannock,21,100.7,59.0,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,0
2006,Bear Lake,1,236.4,236.4,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,0
2006,Bingham,7,220414.3,220042.1,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Blaine,4,272.29999999999995,266.9,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,0
2006,Boise,1,324.0,324.0,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,0
2006,Bonneville,7,1423.7,881.5,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,1
2006,Butte,3,307.0,300.5,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,0
2006,Camas,1,12.5,12.5,2006,81.48481063077563,97.73578595317726,32.561872909699,1.9998344370860928,7.6422951042751235,12.976,1,0
